water,carbohydrates,zinc,vitamin D,vitamin B12,vitamin C,calcium,iron,density,fatty acid,vitamin K,vitamin E,protein,quality
8.2,0.4,0.61,0.44,2.8,0.089,11,43,0.9975,0.61,0.089,0.4,10.5,6
7.3,0.33,0.53,0.47,2.1,0.077,5,11,0.9958,0.53,0.077,0.33,10.3,6
9.2,0.52,2,1,3.4,0.61,32,69,0.9996,2,0.61,0.52,9.4,4
7.5,0.6,0.54,0.03,1.8,0.095,25,99,0.995,0.54,0.095,0.6,10.1,5
7.5,0.6,0.54,0.03,1.8,0.095,25,99,0.995,0.54,0.095,0.6,10.1,5
7.1,0.43,0.72,0.42,5.5,0.07,29,129,0.9973,0.72,0.07,0.43,10.5,5
7.1,0.43,0.71,0.42,5.5,0.071,28,128,0.9973,0.71,0.071,0.43,10.5,5
7.1,0.43,0.72,0.42,5.5,0.07,29,129,0.9973,0.72,0.07,0.43,10.5,5
7.1,0.43,0.71,0.42,5.5,0.071,28,128,0.9973,0.71,0.071,0.43,10.5,5
7.1,0.68,0.5,0,2.2,0.073,12,22,0.9969,0.5,0.073,0.68,9.3,5
6.8,0.6,0.57,0.18,1.9,0.079,18,86,0.9968,0.57,0.079,0.6,9.3,6
7.6,0.95,0.56,0.03,2,0.09,7,20,0.9959,0.56,0.09,0.95,9.6,5
7.6,0.68,1.08,0.02,1.3,0.072,9,20,0.9965,1.08,0.072,0.68,9.2,4
7.8,0.53,0.56,0.04,1.7,0.076,17,31,0.9964,0.56,0.076,0.53,10,6
7.4,0.6,0.49,0.26,7.3,0.07,36,121,0.9982,0.49,0.07,0.6,9.4,5
7.3,0.59,0.49,0.26,7.2,0.07,35,121,0.9981,0.49,0.07,0.59,9.4,5
7.8,0.63,0.62,0.48,1.7,0.1,14,96,0.9961,0.62,0.1,0.63,9.5,5
6.8,0.64,0.52,0.1,2.1,0.085,18,101,0.9956,0.52,0.085,0.64,10.2,5
7.3,0.55,0.48,0.03,1.6,0.072,17,42,0.9956,0.48,0.072,0.55,9,4
6.8,0.63,0.55,0.07,2.1,0.089,11,44,0.9953,0.55,0.089,0.63,10.4,6
7.5,0.705,1.59,0.24,1.8,0.36,15,63,0.9964,1.59,0.36,0.705,9.5,5
7.9,0.885,0.33,0.03,1.8,0.058,4,8,0.9972,0.33,0.058,0.885,9.1,4
8,0.42,0.61,0.17,2,0.073,6,18,0.9972,0.61,0.073,0.42,9.2,6
8,0.42,0.61,0.17,2,0.073,6,18,0.9972,0.61,0.073,0.42,9.2,6
7.4,0.62,0.57,0.05,1.9,0.068,24,42,0.9961,0.57,0.068,0.62,11.5,6
7.3,0.38,0.47,0.21,2,0.08,7,35,0.9961,0.47,0.08,0.38,9.5,5
6.9,0.5,0.78,0.04,1.5,0.085,19,49,0.9958,0.78,0.085,0.5,9.5,5
7.3,0.38,0.47,0.21,2,0.08,7,35,0.9961,0.47,0.08,0.38,9.5,5
7.5,0.52,0.61,0.42,2.3,0.087,8,38,0.9972,0.61,0.087,0.52,10.5,6
7,0.805,0.56,0,2.5,0.068,7,20,0.9969,0.56,0.068,0.805,9.6,5
8.8,0.61,0.59,0.14,2.4,0.067,10,42,0.9969,0.59,0.067,0.61,9.5,5
8.8,0.61,0.59,0.14,2.4,0.067,10,42,0.9969,0.59,0.067,0.61,9.5,5
8.9,0.61,1.02,0.49,2,0.27,23,110,0.9972,1.02,0.27,0.61,9.3,5
7.2,0.73,0.52,0.02,2.5,0.076,16,42,0.9972,0.52,0.076,0.73,9.3,5
6.8,0.61,0.58,0.2,1.8,0.077,11,65,0.9971,0.58,0.077,0.61,9.3,5
6.7,0.62,0.58,0.21,1.9,0.079,8,62,0.997,0.58,0.079,0.62,9.3,6
8.9,0.31,0.53,0.57,2,0.111,26,85,0.9971,0.53,0.111,0.31,9.7,5
7.4,0.39,0.55,0.48,2,0.082,14,67,0.9972,0.55,0.082,0.39,9.2,5
7.7,0.705,0.49,0.1,2.6,0.084,9,26,0.9976,0.49,0.084,0.705,9.7,5
7.9,0.5,0.55,0.33,2,0.084,15,143,0.9968,0.55,0.084,0.5,9.5,5
7.9,0.49,0.55,0.32,1.9,0.082,17,144,0.9968,0.55,0.082,0.49,9.5,5
8.2,0.5,0.62,0.35,2.9,0.077,21,127,0.9976,0.62,0.077,0.5,9.4,5
6.4,0.37,0.62,0.25,1.9,0.074,21,49,0.9974,0.62,0.074,0.37,9.8,6
6.8,0.63,0.61,0.12,3.8,0.099,16,126,0.9969,0.61,0.099,0.63,9.5,5
7.6,0.55,0.55,0.21,2.2,0.071,7,28,0.9964,0.55,0.071,0.55,9.7,5
7.6,0.55,0.55,0.21,2.2,0.071,7,28,0.9964,0.55,0.071,0.55,9.7,5
7.8,0.59,0.54,0.33,2,0.074,24,120,0.9968,0.54,0.074,0.59,9.4,5
7.3,0.58,0.59,0.3,2.4,0.074,15,55,0.9968,0.59,0.074,0.58,10.2,5
11.5,0.3,0.97,0.6,2,0.067,12,27,0.9981,0.97,0.067,0.3,10.1,6
5.4,0.835,0.85,0.08,1.2,0.046,13,93,0.9924,0.85,0.046,0.835,13,7
6.9,1.09,0.43,0.06,2.1,0.061,12,31,0.9948,0.43,0.061,1.09,11.4,4
9.6,0.32,0.82,0.47,1.4,0.056,9,24,0.99695,0.82,0.056,0.32,10.3,7
8.8,0.37,1.03,0.48,2.1,0.097,39,145,0.9975,1.03,0.097,0.37,9.3,5
6.8,0.5,0.79,0.11,1.5,0.075,16,49,0.99545,0.79,0.075,0.5,9.5,5
7,0.42,0.55,0.35,1.6,0.088,16,39,0.9961,0.55,0.088,0.42,9.2,5
7,0.43,0.56,0.36,1.6,0.089,14,37,0.99615,0.56,0.089,0.43,9.2,6
12.8,0.3,0.77,0.74,2.6,0.095,9,28,0.9994,0.77,0.095,0.3,10.8,7
12.8,0.3,0.77,0.74,2.6,0.095,9,28,0.9994,0.77,0.095,0.3,10.8,7
7.8,0.57,0.53,0.31,1.8,0.069,26,120,0.99625,0.53,0.069,0.57,9.3,5
7.8,0.44,0.67,0.28,2.7,0.1,18,95,0.9966,0.67,0.1,0.44,9.4,5
11,0.3,0.88,0.58,2.1,0.054,7,19,0.998,0.88,0.054,0.3,10.5,7
9.7,0.53,0.86,0.6,2,0.039,5,19,0.99585,0.86,0.039,0.53,12.4,6
8,0.725,0.56,0.24,2.8,0.083,10,62,0.99685,0.56,0.083,0.725,10,6
11.6,0.44,0.67,0.64,2.1,0.059,5,15,0.998,0.67,0.059,0.44,10.2,6
8.2,0.57,0.43,0.26,2.2,0.06,28,65,0.9959,0.43,0.06,0.57,10.1,5
7.8,0.735,0.71,0.08,2.4,0.092,10,41,0.9974,0.71,0.092,0.735,9.8,6
7,0.49,0.76,0.49,5.6,0.06,26,121,0.9974,0.76,0.06,0.49,10.5,5
8.7,0.625,0.57,0.16,2,0.101,13,49,0.9962,0.57,0.101,0.625,11,5
8.1,0.725,0.55,0.22,2.2,0.072,11,41,0.9967,0.55,0.072,0.725,9.1,5
7.5,0.49,0.54,0.19,1.9,0.076,10,44,0.9957,0.54,0.076,0.49,9.7,5
7.8,0.53,0.6,0.33,2.4,0.08,24,144,0.99655,0.6,0.08,0.53,9.5,5
7.8,0.34,0.59,0.37,2,0.082,24,58,0.9964,0.59,0.082,0.34,9.4,6
7.4,0.53,0.57,0.26,2,0.101,16,72,0.9957,0.57,0.101,0.53,9.4,5
6.8,0.61,0.6,0.04,1.5,0.057,5,10,0.99525,0.6,0.057,0.61,9.5,5
8.6,0.645,0.6,0.25,2,0.083,8,28,0.99815,0.6,0.083,0.645,10,6
8.4,0.635,0.57,0.36,2,0.089,15,55,0.99745,0.57,0.089,0.635,10.4,4
7.7,0.43,0.58,0.25,2.6,0.073,29,63,0.99615,0.58,0.073,0.43,10.5,6
8.9,0.59,1.61,0.5,2,0.337,27,81,0.9964,1.61,0.337,0.59,9.5,6
9,0.82,0.63,0.14,2.6,0.089,9,23,0.9984,0.63,0.089,0.82,9.8,5
7.7,0.43,0.58,0.25,2.6,0.073,29,63,0.99615,0.58,0.073,0.43,10.5,6
6.9,0.52,0.5,0.25,2.6,0.081,10,37,0.99685,0.5,0.081,0.52,11,5
5.2,0.48,0.62,0.04,1.6,0.054,19,106,0.9927,0.62,0.054,0.48,12.2,7
8,0.38,0.52,0.06,1.8,0.078,12,49,0.99625,0.52,0.078,0.38,9.9,6
8.5,0.37,0.7,0.2,2.8,0.09,18,58,0.998,0.7,0.09,0.37,9.6,6
6.9,0.52,0.5,0.25,2.6,0.081,10,37,0.99685,0.5,0.081,0.52,11,5
8.2,1,0.55,0.09,2.3,0.065,7,37,0.99685,0.55,0.065,1,9,6
7.2,0.63,0.58,0,1.9,0.097,14,38,0.99675,0.58,0.097,0.63,9,6
7.2,0.63,0.58,0,1.9,0.097,14,38,0.99675,0.58,0.097,0.63,9,6
7.2,0.645,0.58,0,1.9,0.097,15,39,0.99675,0.58,0.097,0.645,9.2,6
7.2,0.63,0.58,0,1.9,0.097,14,38,0.99675,0.58,0.097,0.63,9,6
8.2,1,0.55,0.09,2.3,0.065,7,37,0.99685,0.55,0.065,1,9,6
8.9,0.635,1.09,0.37,1.7,0.263,5,62,0.9971,1.09,0.263,0.635,9.3,5
12,0.38,0.71,0.56,2.1,0.093,6,24,0.99925,0.71,0.093,0.38,10.9,6
7.7,0.58,0.49,0.1,1.8,0.102,28,109,0.99565,0.49,0.102,0.58,9.8,6
15,0.21,0.84,0.44,2.2,0.075,10,24,1.00005,0.84,0.075,0.21,9.2,7
15,0.21,0.84,0.44,2.2,0.075,10,24,1.00005,0.84,0.075,0.21,9.2,7
7.3,0.66,0.96,0,2,0.084,6,23,0.9983,0.96,0.084,0.66,9.9,6
7.1,0.68,0.52,0.07,1.9,0.075,16,51,0.99685,0.52,0.075,0.68,9.5,5
8.2,0.6,0.45,0.17,2.3,0.072,11,73,0.9963,0.45,0.072,0.6,9.3,5
7.7,0.53,0.48,0.06,1.7,0.074,9,39,0.99615,0.48,0.074,0.53,9.8,6
7.3,0.66,0.96,0,2,0.084,6,23,0.9983,0.96,0.084,0.66,9.9,6
10.8,0.32,0.78,0.44,1.6,0.063,16,37,0.9985,0.78,0.063,0.32,10,6
7.1,0.6,0.7,0,1.8,0.074,16,34,0.9972,0.7,0.074,0.6,9.9,6
11.1,0.35,0.53,0.48,3.1,0.09,5,21,0.9986,0.53,0.09,0.35,10.5,5
7.7,0.775,0.59,0.42,1.9,0.092,8,86,0.9959,0.59,0.092,0.775,9.5,5
7.1,0.6,0.7,0,1.8,0.074,16,34,0.9972,0.7,0.074,0.6,9.9,6
8,0.57,0.57,0.23,3.2,0.073,17,119,0.99675,0.57,0.073,0.57,9.3,5
9.4,0.34,0.62,0.37,2.2,0.075,5,13,0.998,0.62,0.075,0.34,9.2,5
6.6,0.695,0.67,0,2.1,0.075,12,56,0.9968,0.67,0.075,0.695,9.2,5
7.7,0.41,1.26,0.76,1.8,0.611,8,45,0.9968,1.26,0.611,0.41,9.4,5
10,0.31,0.8,0.47,2.6,0.085,14,33,0.99965,0.8,0.085,0.31,10.5,7
7.9,0.33,0.65,0.23,1.7,0.077,18,45,0.99625,0.65,0.077,0.33,9.3,5
7,0.975,0.6,0.04,2,0.087,12,67,0.99565,0.6,0.087,0.975,9.4,4
8,0.52,0.57,0.03,1.7,0.07,10,35,0.99575,0.57,0.07,0.52,10,5
7.9,0.37,0.67,0.23,1.8,0.077,23,49,0.9963,0.67,0.077,0.37,9.3,5
12.5,0.56,0.87,0.49,2.4,0.064,5,27,0.9999,0.87,0.064,0.56,10.9,5
11.8,0.26,0.72,0.52,1.8,0.071,6,10,0.9968,0.72,0.071,0.26,10.2,7
8.1,0.87,0.72,0,3.3,0.096,26,61,1.00025,0.72,0.096,0.87,9.8,4
7.9,0.35,0.86,0.46,3.6,0.078,15,37,0.9973,0.86,0.078,0.35,12.8,8
6.9,0.54,0.91,0.04,3,0.077,7,27,0.9987,0.91,0.077,0.54,9.4,6
11.5,0.18,0.97,0.51,4,0.104,4,23,0.9996,0.97,0.104,0.18,10.1,6
7.9,0.545,0.67,0.06,4,0.087,27,61,0.9965,0.67,0.087,0.545,10.7,6
11.5,0.18,0.97,0.51,4,0.104,4,23,0.9996,0.97,0.104,0.18,10.1,6
10.9,0.37,0.78,0.58,4,0.071,17,65,0.99935,0.78,0.071,0.37,10.1,5
8.4,0.715,0.64,0.2,2.4,0.076,10,38,0.99735,0.64,0.076,0.715,9.4,5
7.5,0.65,0.77,0.18,7,0.088,27,94,0.99915,0.77,0.088,0.65,9.4,5
7.9,0.545,0.67,0.06,4,0.087,27,61,0.9965,0.67,0.087,0.545,10.7,6
6.9,0.54,0.91,0.04,3,0.077,7,27,0.9987,0.91,0.077,0.54,9.4,6
